Entity	IFC4_ADD2
IfcActorRole	X
IfcAddress	X
  IfcPostalAddress	X
  IfcTelecomAddress	X
IfcApplication	X
IfcAppliedValue	X
  IfcCostValue	X
IfcApproval	X
IfcBoundaryCondition	X
  IfcBoundaryEdgeCondition	X
  IfcBoundaryFaceCondition	X
  IfcBoundaryNodeCondition	X
    IfcBoundaryNodeConditionWarping	X
IfcConnectionGeometry	X
  IfcConnectionCurveGeometry	X
  IfcConnectionPointGeometry	X
    IfcConnectionPointEccentricity	X
  IfcConnectionSurfaceGeometry	X
  IfcConnectionVolumeGeometry	X
IfcConstraint	X
  IfcMetric	X
  IfcObjective	X
IfcCoordinateOperation	X
  IfcMapConversion	X
IfcCoordinateReferenceSystem	X
  IfcProjectedCRS	X
IfcDerivedUnit	X
IfcDerivedUnitElement	X
IfcDimensionalExponents	X
IfcExternalInformation	X
  IfcClassification	X
  IfcDocumentInformation	X
  IfcLibraryInformation	X
IfcExternalReference	X
  IfcClassificationReference	X
  IfcDocumentReference	X
  IfcExternallyDefinedHatchStyle	X
  IfcExternallyDefinedSurfaceStyle	X
  IfcExternallyDefinedTextFont	X
  IfcLibraryReference	X
IfcGridAxis	X
IfcIrregularTimeSeriesValue	X
IfcLightDistributionData	X
IfcLightIntensityDistribution	X
IfcMaterialClassificationRelationship	X
IfcMaterialDefinition	X
  IfcMaterial	X
  IfcMaterialConstituent	X
  IfcMaterialConstituentSet	X
  IfcMaterialLayer	X
    IfcMaterialLayerWithOffsets	X
  IfcMaterialLayerSet	X
  IfcMaterialProfile	X
    IfcMaterialProfileWithOffsets	X
  IfcMaterialProfileSet	X
IfcMaterialList	X
IfcMaterialUsageDefinition	X
  IfcMaterialLayerSetUsage	X
  IfcMaterialProfileSetUsage	X
    IfcMaterialProfileSetUsageTapering	X
IfcMeasureWithUnit	X
IfcMonetaryUnit	X
IfcNamedUnit	X
  IfcContextDependentUnit	X
  IfcConversionBasedUnit	X
    IfcConversionBasedUnitWithOffset	X
  IfcSIUnit	X
IfcObjectPlacement	X
  IfcGridPlacement	X
  IfcLocalPlacement	X
IfcOrganization	X
IfcOwnerHistory	X
IfcPerson	X
IfcPersonAndOrganization	X
IfcPhysicalQuantity	X
  IfcPhysicalComplexQuantity	X
  IfcPhysicalSimpleQuantity	X
    IfcQuantityArea	X
    IfcQuantityCount	X
    IfcQuantityLength	X
    IfcQuantityTime	X
    IfcQuantityVolume	X
    IfcQuantityWeight	X
IfcPresentationItem	X
  IfcColourRgbList	X
  IfcColourSpecification	X
    IfcColourRgb	X
  IfcCurveStyleFont	X
  IfcCurveStyleFontAndScaling	X
  IfcCurveStyleFontPattern	X
  IfcIndexedColourMap	X
  IfcPreDefinedItem	X
    IfcPreDefinedColour	X
      IfcDraughtingPreDefinedColour	X
    IfcPreDefinedCurveFont	X
      IfcDraughtingPreDefinedCurveFont	X
    IfcPreDefinedTextFont	X
      IfcTextStyleFontModel	X
  IfcSurfaceStyleLighting	X
  IfcSurfaceStyleRefraction	X
  IfcSurfaceStyleShading	X
    IfcSurfaceStyleRendering	X
  IfcSurfaceStyleWithTextures	X
  IfcSurfaceTexture	X
